title,company,type,posted_on,cities,start_date,duration_months,stipend,apply_by
Data Analyst,"Goda, Bhakta and Kamdar",Full Time,04-07-2026,"Lucknow,Chennai",22-07-2026,1,5000,30-07-2026
Marketing,Tiwari Ltd,Remote,06-06-2026,"Jaipur,Mumbai,Bengaluru,Kolkata",21-06-2026,11,5000,18-07-2026
Data Analyst,Kuruvilla Inc,Remote,30-06-2026,"Pune,Mumbai,Jaipur,Hyderabad",30-07-2026,5,10000,05-08-2026
Web Developer,Sani Ltd,Remote,06-03-2026,"Delhi,Chennai",Immediately,12,5000,11-04-2026
Business Development,Arora and Sons,Remote,24-08-2026,"Hyderabad,Kolkata",Immediately,3,5000,15-09-2026
AI/ML Intern,"Bhagat, Chaudhary and Banik",Part Time,21-06-2026,"Kolkata,Pune,Mumbai",11-07-2026,12,5000,07-07-2026
Content Writing,Viswanathan Ltd,Part Time,28-05-2026,"Kolkata,Delhi",16-06-2026,6,5000,04-07-2026
Business Development,Mutti and Sons,Remote,20-03-2026,"Delhi,Chennai",29-03-2026,5,10000,13-05-2026
AI/ML Intern,Swamy PLC,Full Time,13-02-2026,Pune,15-03-2026,5,0,14-04-2026
Web Developer,Chaudhry-Date,Remote,15-02-2026,"Pune,Delhi,Jaipur",12-03-2026,11,15000,15-04-2026
Data Analyst,Hegde Inc,Part Time,03-08-2026,"Bengaluru,Jaipur,Chennai,Ahmedabad",31-08-2026,7,5000,24-09-2026
Marketing,Parmer Inc,Remote,08-03-2026,"Mumbai,Jaipur,Chennai,Kolkata",26-03-2026,3,15000,20-04-2026
AI/ML Intern,Bawa Inc,Remote,11-08-2026,"Delhi,Pune,Jaipur",Immediately,9,15000,09-10-2026
AI/ML Intern,"Nanda, Dugar and Sami",Part Time,14-04-2026,Ahmedabad,11-05-2026,3,0,23-05-2026
Web Developer,Gill-Bawa,Part Time,02-08-2026,"Ahmedabad,Pune",31-08-2026,3,10000,12-09-2026
Business Development,Raja LLC,Part Time,11-04-2026,"Delhi,Mumbai,Bengaluru,Chennai",Immediately,4,10000,07-05-2026
Content Writing,"Varghese, Salvi and Mishra",Remote,13-06-2026,"Kolkata,Bengaluru",Immediately,12,0,28-06-2026
Data Analyst,"Lall, Handa and Sengupta",Part Time,18-01-2026,"Ahmedabad,Jaipur",12-02-2026,10,0,14-02-2026
Content Writing,Sane-Luthra,Part Time,23-02-2026,"Kolkata,Mumbai,Hyderabad,Chennai",11-03-2026,8,0,15-04-2026
Content Writing,"Radhakrishnan, Chaudry and Varghese",Remote,28-01-2026,"Bengaluru,Chennai,Pune,Ahmedabad",27-02-2026,5,10000,24-03-2026
Content Writing,"Din, Mody and Sehgal",Part Time,29-04-2026,"Ahmedabad,Hyderabad",06-05-2026,9,0,27-05-2026
Web Developer,Choudhry-Taneja,Part Time,17-02-2026,"Hyderabad,Lucknow,Ahmedabad,Chennai",Immediately,10,15000,23-03-2026
AI/ML Intern,Chand-Bedi,Remote,21-04-2026,"Lucknow,Delhi",18-05-2026,7,0,10-06-2026
Data Analyst,Garg Ltd,Remote,07-01-2026,"Pune,Hyderabad,Ahmedabad",04-02-2026,7,15000,23-01-2026
Business Development,Chad PLC,Full Time,23-05-2026,Kolkata,09-06-2026,5,0,07-06-2026
AI/ML Intern,Sane and Sons,Remote,15-06-2026,"Pune,Delhi",Immediately,5,0,04-08-2026
Data Analyst,Singhal and Sons,Part Time,14-02-2026,Hyderabad,Immediately,3,0,11-04-2026
Data Analyst,Savant PLC,Full Time,15-08-2026,"Jaipur,Kolkata",Immediately,2,10000,28-09-2026
Marketing,Mann-Baral,Full Time,21-07-2026,"Bengaluru,Mumbai,Lucknow,Jaipur",Immediately,2,10000,10-09-2026
Web Developer,"Sarna, Kara and Narasimhan",Part Time,14-01-2026,"Chennai,Pune,Kolkata",09-02-2026,6,5000,16-02-2026
Web Developer,Dutta Group,Part Time,11-02-2026,"Pune,Kolkata,Jaipur,Hyderabad",02-03-2026,7,10000,27-03-2026
Content Writing,Bhavsar Ltd,Part Time,06-06-2026,"Hyderabad,Jaipur,Chennai",Immediately,5,0,03-07-2026
AI/ML Intern,"Minhas, Gandhi and Ramanathan",Part Time,05-07-2026,"Hyderabad,Ahmedabad,Jaipur,Mumbai",Immediately,5,0,22-08-2026
Data Analyst,Vasa Group,Remote,04-01-2026,"Ahmedabad,Chennai,Mumbai",30-01-2026,3,5000,29-01-2026
Marketing,Bail Ltd,Full Time,22-06-2026,"Hyderabad,Lucknow,Mumbai,Pune",Immediately,7,10000,17-08-2026
Marketing,Anne-Kaul,Full Time,02-01-2026,"Bengaluru,Mumbai",26-01-2026,7,5000,10-02-2026
Business Development,Bansal and Sons,Full Time,02-05-2026,"Bengaluru,Ahmedabad",20-05-2026,4,15000,30-06-2026
Data Analyst,Sekhon Inc,Remote,10-01-2026,Pune,05-02-2026,6,15000,07-02-2026
Web Developer,"Narayanan, Sagar and Jha",Part Time,13-06-2026,"Pune,Ahmedabad,Hyderabad,Bengaluru",10-07-2026,8,5000,24-07-2026
Data Analyst,Pillai-Narasimhan,Full Time,08-02-2026,"Hyderabad,Ahmedabad",28-02-2026,7,10000,01-03-2026
AI/ML Intern,Mohanty Inc,Part Time,15-02-2026,"Lucknow,Delhi,Kolkata",Immediately,4,10000,06-03-2026
Business Development,Narayanan-Nigam,Full Time,16-03-2026,"Jaipur,Pune,Lucknow",Immediately,6,15000,14-04-2026
Web Developer,"Batra, Reddy and Sodhi",Full Time,04-01-2026,"Jaipur,Hyderabad",15-01-2026,9,10000,10-02-2026
Content Writing,Panchal LLC,Full Time,03-03-2026,"Kolkata,Ahmedabad,Chennai,Pune",Immediately,8,15000,16-04-2026
Business Development,Swaminathan-Sarna,Remote,29-06-2026,"Jaipur,Bengaluru,Delhi,Hyderabad",14-07-2026,10,0,24-07-2026
AI/ML Intern,Sharaf-Chandra,Full Time,22-07-2026,"Kolkata,Jaipur",Immediately,3,5000,07-08-2026
Web Developer,Pillay-Kohli,Full Time,14-06-2026,"Kolkata,Chennai,Bengaluru,Jaipur",05-07-2026,2,15000,01-08-2026
AI/ML Intern,Rattan-Mane,Part Time,06-07-2026,Jaipur,Immediately,2,0,06-08-2026
Content Writing,Zacharia and Sons,Full Time,24-03-2026,"Lucknow,Pune",03-04-2026,2,10000,28-04-2026
Marketing,Dayal-Bahl,Full Time,30-07-2026,Chennai,Immediately,7,10000,19-08-2026
Content Writing,"Thakkar, Mohan and Kapur",Remote,06-08-2026,"Kolkata,Lucknow,Chennai,Hyderabad",23-08-2026,4,10000,29-08-2026
AI/ML Intern,"Wadhwa, Krish and Mahal",Full Time,26-03-2026,Hyderabad,Immediately,10,10000,30-04-2026
Content Writing,"Bir, Narang and Patla",Remote,05-02-2026,"Hyderabad,Mumbai,Chennai,Lucknow",Immediately,9,5000,05-03-2026
Content Writing,Shere-Dua,Full Time,24-01-2026,"Ahmedabad,Lucknow",Immediately,10,5000,28-02-2026
Web Developer,"Ahluwalia, Pandit and Kibe",Full Time,13-03-2026,"Pune,Kolkata",11-04-2026,6,0,20-04-2026
AI/ML Intern,"Memon, Misra and Pingle",Remote,21-04-2026,"Jaipur,Lucknow,Hyderabad,Mumbai",Immediately,11,5000,13-06-2026
Content Writing,"Chand, Basak and Sridhar",Part Time,21-04-2026,"Hyderabad,Kolkata,Chennai",04-05-2026,4,5000,20-05-2026
AI/ML Intern,Goel Group,Remote,13-02-2026,"Jaipur,Chennai,Delhi",Immediately,5,15000,06-03-2026
Marketing,"Bir, Rau and Hayre",Part Time,30-04-2026,"Delhi,Bengaluru,Pune,Lucknow",Immediately,2,5000,13-06-2026
AI/ML Intern,Issac-Pillay,Full Time,11-06-2026,Bengaluru,21-06-2026,2,5000,02-07-2026
Marketing,Sahota-Rai,Full Time,26-03-2026,"Delhi,Hyderabad",18-04-2026,3,5000,24-05-2026
AI/ML Intern,Garde Group,Remote,14-01-2026,"Chennai,Hyderabad,Pune",Immediately,1,5000,23-02-2026
Content Writing,Varughese Ltd,Remote,18-08-2026,Chennai,Immediately,3,15000,17-10-2026
